Card Name,Card URL,Image URL,Description,Rarity Symbols
Salandit,https://pocket.limitlesstcg.com/cards/A1/49,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_049_EN.webp,"It taunts its prey and lures them into narrow, rocky areas where it then sprays them with toxic gas to make them dizzy and take them down.",#49 · ◊
Salazzle,https://pocket.limitlesstcg.com/cards/A1/50,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_050_EN.webp,"Salazzle makes its opponents light-headed with poisonous gas, then captivates them with alluring movements to turn them into loyal servants.",#50 · ◊
Sizzlipede,https://pocket.limitlesstcg.com/cards/A1/51,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_051_EN.webp,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.,#51 · ◊
Centiskorch,https://pocket.limitlesstcg.com/cards/A1/52,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_052_EN.webp,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.",#52 · ◊◊
Squirtle,https://pocket.limitlesstcg.com/cards/A1/53,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_053_EN.webp,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",#53 · ◊
Wartortle,https://pocket.limitlesstcg.com/cards/A1/54,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_054_EN.webp,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",#54 · ◊◊
Blastoise,https://pocket.limitlesstcg.com/cards/A1/55,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_055_EN.webp,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",#55 · ◊◊◊
Blastoise ex,https://pocket.limitlesstcg.com/cards/A1/56,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_056_EN.webp,No Description,#56 · ◊◊◊◊
Psyduck,https://pocket.limitlesstcg.com/cards/A1/57,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_057_EN.webp,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",#57 · ◊
Golduck,https://pocket.limitlesstcg.com/cards/A1/58,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_058_EN.webp,"When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.",#58 · ◊◊
Poliwag,https://pocket.limitlesstcg.com/cards/A1/59,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_059_EN.webp,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",#59 · ◊
Poliwhirl,https://pocket.limitlesstcg.com/cards/A1/60,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_060_EN.webp,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,#60 · ◊◊
Poliwrath,https://pocket.limitlesstcg.com/cards/A1/61,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_061_EN.webp,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",#61 · ◊◊◊
Tentacool,https://pocket.limitlesstcg.com/cards/A1/62,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_062_EN.webp,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,#62 · ◊
Tentacruel,https://pocket.limitlesstcg.com/cards/A1/63,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_063_EN.webp,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",#63 · ◊◊
Seel,https://pocket.limitlesstcg.com/cards/A1/64,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_064_EN.webp,"Thanks to its thick fat, cold seas don’t bother it at all, but it gets tired pretty easily in warm waters.",#64 · ◊
Dewgong,https://pocket.limitlesstcg.com/cards/A1/65,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_065_EN.webp,It sunbathes on the beach after meals. The rise in its body temperature helps its digestion.,#65 · ◊◊
Shellder,https://pocket.limitlesstcg.com/cards/A1/66,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_066_EN.webp,"It is encased in a shell that is harder than diamond. Inside, however, it is surprisingly tender.",#66 · ◊
Cloyster,https://pocket.limitlesstcg.com/cards/A1/67,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_067_EN.webp,"Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells.",#67 · ◊◊
Krabby,https://pocket.limitlesstcg.com/cards/A1/68,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_068_EN.webp,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,#68 · ◊
Kingler,https://pocket.limitlesstcg.com/cards/A1/69,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_069_EN.webp,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",#69 · ◊◊
Horsea,https://pocket.limitlesstcg.com/cards/A1/70,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_070_EN.webp,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",#70 · ◊
Seadra,https://pocket.limitlesstcg.com/cards/A1/71,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_071_EN.webp,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.",#71 · ◊◊
Goldeen,https://pocket.limitlesstcg.com/cards/A1/72,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_072_EN.webp,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",#72 · ◊
Seaking,https://pocket.limitlesstcg.com/cards/A1/73,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_073_EN.webp,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",#73 · ◊
Staryu,https://pocket.limitlesstcg.com/cards/A1/74,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_074_EN.webp,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.",#74 · ◊
Starmie,https://pocket.limitlesstcg.com/cards/A1/75,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_075_EN.webp,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,#75 · ◊◊
Starmie ex,https://pocket.limitlesstcg.com/cards/A1/76,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_076_EN.webp,No Description,#76 · ◊◊◊◊
Magikarp,https://pocket.limitlesstcg.com/cards/A1/77,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_077_EN.webp,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",#77 · ◊
Gyarados,https://pocket.limitlesstcg.com/cards/A1/78,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_078_EN.webp,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.",#78 · ◊◊◊
Lapras,https://pocket.limitlesstcg.com/cards/A1/79,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_079_EN.webp,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",#79 · ◊◊◊
Vaporeon,https://pocket.limitlesstcg.com/cards/A1/80,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_080_EN.webp,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",#80 · ◊◊◊
Omanyte,https://pocket.limitlesstcg.com/cards/A1/81,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_081_EN.webp,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.",#81 · ◊◊
Omastar,https://pocket.limitlesstcg.com/cards/A1/82,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_082_EN.webp,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.",#82 · ◊◊◊
Articuno,https://pocket.limitlesstcg.com/cards/A1/83,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_083_EN.webp,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",#83 · ◊◊◊
Articuno ex,https://pocket.limitlesstcg.com/cards/A1/84,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_084_EN.webp,No Description,#84 · ◊◊◊◊
Ducklett,https://pocket.limitlesstcg.com/cards/A1/85,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_085_EN.webp,"When attacked, it uses its feathers to splash water, escaping under cover of the spray.",#85 · ◊
Swanna,https://pocket.limitlesstcg.com/cards/A1/86,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_086_EN.webp,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.",#86 · ◊◊
Froakie,https://pocket.limitlesstcg.com/cards/A1/87,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_087_EN.webp,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,#87 · ◊
Frogadier,https://pocket.limitlesstcg.com/cards/A1/88,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_088_EN.webp,"It can throw bubble-covered pebbles with precise  control, hitting empty cans up to a hundred feet away.",#88 · ◊◊
Greninja,https://pocket.limitlesstcg.com/cards/A1/89,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_089_EN.webp,"It creates throwing stars out of compressed water.  When it spins them and throws them at high speed,  these stars can split metal in two.",#89 · ◊◊◊
Pyukumuku,https://pocket.limitlesstcg.com/cards/A1/90,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_090_EN.webp,"It lives in warm, shallow waters. If it encounters a foe, it will spit out its internal organs as a means to punch them.",#90 · ◊
Bruxish,https://pocket.limitlesstcg.com/cards/A1/91,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_091_EN.webp,It grinds its teeth with great force to stimulate its brain. It fires the psychic energy created by this process from the protuberance on its head.,#91 · ◊◊
Snom,https://pocket.limitlesstcg.com/cards/A1/92,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_092_EN.webp,"It eats snow that has accumulated on the ground. It prefers soft, freshly fallen snow, so it will eat its way up a mountain, aiming for the peak.",#92 · ◊
Frosmoth,https://pocket.limitlesstcg.com/cards/A1/93,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_093_EN.webp,"Frosmoth senses air currents with its antennae. It sends its scales drifting on frigid air, making them fall like snow.",#93 · ◊◊
Pikachu,https://pocket.limitlesstcg.com/cards/A1/94,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_094_EN.webp,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",#94 · ◊
Raichu,https://pocket.limitlesstcg.com/cards/A1/95,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_095_EN.webp,"Its tail discharges electricity into the ground, protecting it from getting shocked.",#95 · ◊◊◊
Pikachu ex,https://pocket.limitlesstcg.com/cards/A1/96,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_096_EN.webp,No Description,#96 · ◊◊◊◊
Magnemite,https://pocket.limitlesstcg.com/cards/A1/97,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_097_EN.webp,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.",#97 · ◊
Magneton,https://pocket.limitlesstcg.com/cards/A1/98,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_098_EN.webp,Three Magnemite are linked by a strong magnetic force. Earaches will occur if you get too close.,#98 · ◊◊◊
Voltorb,https://pocket.limitlesstcg.com/cards/A1/99,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_099_EN.webp,"It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.",#99 · ◊
Electrode,https://pocket.limitlesstcg.com/cards/A1/100,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_100_EN.webp,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",#100 · ◊◊
Electabuzz,https://pocket.limitlesstcg.com/cards/A1/101,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_101_EN.webp,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,#101 · ◊
Jolteon,https://pocket.limitlesstcg.com/cards/A1/102,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_102_EN.webp,It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.,#102 · ◊◊◊
Zapdos,https://pocket.limitlesstcg.com/cards/A1/103,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_103_EN.webp,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,#103 · ◊◊◊
Zapdos ex,https://pocket.limitlesstcg.com/cards/A1/104,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_104_EN.webp,No Description,#104 · ◊◊◊◊
Blitzle,https://pocket.limitlesstcg.com/cards/A1/105,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_105_EN.webp,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",#105 · ◊
Zebstrika,https://pocket.limitlesstcg.com/cards/A1/106,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_106_EN.webp,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.",#106 · ◊◊
Tynamo,https://pocket.limitlesstcg.com/cards/A1/107,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_107_EN.webp,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",#107 · ◊
Eelektrik,https://pocket.limitlesstcg.com/cards/A1/108,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_108_EN.webp,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,#108 · ◊◊
Eelektross,https://pocket.limitlesstcg.com/cards/A1/109,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_109_EN.webp,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,#109 · ◊◊◊
Helioptile,https://pocket.limitlesstcg.com/cards/A1/110,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_110_EN.webp,"When spread, the frills on its head act like solar panels, generating the power behind this Pokémon’s electric moves.",#110 · ◊
Heliolisk,https://pocket.limitlesstcg.com/cards/A1/111,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_111_EN.webp,One Heliolisk basking in the sun with its frill outspread is all it would take to produce enough electricity to power a city.,#111 · ◊
